pop	clust1	clust2	clust3	clust4
Tillamook	0.0840	0.6752	0.1262	0.1146
Tillamook	0.2435	0.0216	0.3888	0.3461
Tillamook	0.1719	0.0117	0.3995	0.4169
Tillamook	0.1059	0.0251	0.4866	0.3823
Tillamook	0.6416	0.0084	0.1538	0.1962
Tillamook	0.7020	0.0274	0.1313	0.1393
Tillamook	0.1711	0.0645	0.3642	0.4002
Tillamook	0.1248	0.0131	0.4048	0.4572
Tillamook	0.5987	0.0263	0.1856	0.1894
Tillamook	0.6623	0.0627	0.1372	0.1378
Tillamook	0.2623	0.1387	0.2830	0.3159
Tillamook	0.2853	0.0399	0.3441	0.3308
Tillamook	0.2261	0.0336	0.3397	0.4006
Tillamook	0.1531	0.0100	0.3297	0.5071
Tillamook	0.0709	0.4009	0.2756	0.2527
Tillamook	0.1839	0.0183	0.3624	0.4354
Tillamook	0.1827	0.0654	0.3503	0.4016
Tillamook	0.3037	0.0687	0.2995	0.3281
Tillamook	0.0583	0.0364	0.4343	0.4710
Tillamook	0.3600	0.0277	0.3304	0.2819
Tillamook	0.1555	0.0996	0.4151	0.3298
Tillamook	0.1673	0.0459	0.3642	0.4227
Tillamook	0.2271	0.0093	0.3821	0.3815
Tillamook	0.0695	0.0134	0.4410	0.4760
Tillamook	0.0663	0.0311	0.4281	0.4745
Tillamook	0.1387	0.0154	0.4383	0.4076
Tillamook	0.1202	0.0703	0.3929	0.4166
Tillamook	0.1014	0.0323	0.4041	0.4622
Tillamook	0.2913	0.0331	0.3154	0.3601
Tillamook	0.2381	0.0213	0.3421	0.3985
Tillamook	0.1833	0.1229	0.3481	0.3458
Tillamook	0.1836	0.0163	0.3491	0.4510
Tillamook	0.1864	0.0117	0.3353	0.4666
Tillamook	0.1525	0.0169	0.3785	0.4521
Tillamook	0.2280	0.1101	0.3441	0.3177
Tillamook	0.0663	0.0446	0.4439	0.4453
Tillamook	0.0890	0.0176	0.5183	0.3751
Tillamook	0.4713	0.0527	0.2114	0.2646
Tillamook	0.0690	0.0140	0.4350	0.4821
Tillamook	0.0683	0.0193	0.4333	0.4791
Tillamook	0.1589	0.0818	0.3725	0.3868
Yaquina	0.0353	0.8891	0.0399	0.0357
Yaquina	0.0097	0.9707	0.0099	0.0097
Yaquina	0.0319	0.9104	0.0294	0.0283
Yaquina	0.0623	0.8238	0.0589	0.0550
Yaquina	0.0287	0.9020	0.0357	0.0336
Yaquina	0.0104	0.9714	0.0093	0.0089
Yaquina	0.0903	0.6309	0.1540	0.1248
Yaquina	0.0056	0.9840	0.0053	0.0051
Yaquina	0.0561	0.7950	0.0774	0.0714
