pop	clust1	clust2	clust3	clust4	clust5	clust6
Tillamook	0.3679	0.0127	0.2085	0.2179	0.0093	0.1837
Tillamook	0.1189	0.0090	0.3413	0.2673	0.0091	0.2544
Tillamook	0.1017	0.0177	0.3466	0.2892	0.0069	0.2380
Tillamook	0.1200	0.0217	0.3255	0.2675	0.0039	0.2615
Tillamook	0.3204	0.0099	0.2092	0.2544	0.0026	0.2035
Tillamook	0.2471	0.0057	0.1995	0.2741	0.0046	0.2691
Tillamook	0.2197	0.0167	0.2546	0.2197	0.0017	0.2876
Tillamook	0.2715	0.0339	0.2490	0.2532	0.0059	0.1865
Tillamook	0.0980	0.0853	0.2658	0.2551	0.0016	0.2943
Tillamook	0.1090	0.0189	0.2762	0.3176	0.0036	0.2748
Tillamook	0.1613	0.0330	0.2266	0.2712	0.0029	0.3051
Tillamook	0.1028	0.0140	0.2866	0.2788	0.0044	0.3133
Tillamook	0.1103	0.0151	0.2871	0.2732	0.0026	0.3118
Tillamook	0.5744	0.0047	0.1129	0.1567	0.0017	0.1496
Tillamook	0.1133	0.0121	0.3575	0.2851	0.0029	0.2292
Tillamook	0.2518	0.0163	0.2230	0.2074	0.0030	0.2984
Tillamook	0.6278	0.0079	0.0494	0.0787	0.0109	0.2254
Tillamook	0.6301	0.0066	0.0467	0.0792	0.0100	0.2275
Tillamook	0.1985	0.0189	0.2306	0.2614	0.0219	0.2688
Tillamook	0.5232	0.0109	0.1124	0.1450	0.0217	0.1868
Tillamook	0.1324	0.0347	0.2701	0.2478	0.0067	0.3083
Tillamook	0.2778	0.0269	0.2225	0.2372	0.0033	0.2323
Tillamook	0.1629	0.0133	0.2543	0.2604	0.0083	0.3008
Tillamook	0.4064	0.0570	0.1745	0.1993	0.0076	0.1552
Tillamook	0.2840	0.0139	0.2403	0.2694	0.0033	0.1891
Tillamook	0.2142	0.0211	0.2626	0.3009	0.0070	0.1941
Tillamook	0.1479	0.0280	0.3208	0.2947	0.0020	0.2066
Tillamook	0.2717	0.0111	0.2417	0.2720	0.0037	0.1997
Tillamook	0.2316	0.0180	0.2776	0.2915	0.0047	0.1765
Tillamook	0.1283	0.0826	0.2671	0.2528	0.0016	0.2677
Tillamook	0.0654	0.6458	0.0787	0.1099	0.0129	0.0873
Tillamook	0.1457	0.0121	0.2915	0.3159	0.0187	0.2160
Tillamook	0.1804	0.0066	0.3125	0.3030	0.0027	0.1948
